firm,country,ticker,n_obs,beta_rate,beta_fx,r2,beta_rate_z,beta_fx_z
VN_BCE,VN,BCE,11,-0.00048746209161199856,0.0030102288310578902,0.09438202923854555,-0.36428111225942444,1.1738904765518678
VN_BCF,VN,BCF,11,0.016470954498350152,-0.0005248009961649372,0.2989837926311141,0.37295481423463533,-0.11886397190427675
VN_BCG,VN,BCG,7,0.10023606717305704,0.007663404221259934,0.7296402830253605,4.014488805513634,2.8755488724178364
VN_BCM,VN,BCM,9,-0.0020901369349035455,0.0004220814848945533,0.10841635842151764,-0.4339544491947924,0.2274093551630957
VN_BFC,VN,BFC,11,0.009527049438664463,0.0005912046302337467,0.7477912565540774,0.07108133135331912,0.2892574043055552
VN_BHN,VN,BHN,11,0.007520893596368369,5.5551403370928094e-05,0.5056444856906128,-0.016132598864792912,0.09336992224693545
VN_BKC,VN,BKC,11,-0.01088824085828989,-0.0006842335652942295,0.06893063600154592,-0.8164358125308037,-0.17716819366316508
VN_BMC,VN,BMC,6,-0.00018858602986358274,-0.00011856728037503743,0.21982505423611454,-0.351288025957935,0.029695013130606518
VN_BMP,VN,BMP,11,0.002066155006162593,6.574450843524777e-05,0.0037279338102914616,-0.2532673122975069,0.09709752358540347
VN_BPC,VN,BPC,11,0.026571433282195942,0.0004570468445673918,0.7608865825007665,0.812054525858052,0.24019612825079045
VN_BRC,VN,BRC,11,0.001929235988608333,0.001091015602396351,0.10892241565759841,-0.259219614402234,0.47203743424323985
VN_BSR,VN,BSR,10,0.00304184169738561,-0.000628625619480785,0.4060131050035364,-0.21085113045907436,-0.15683246162315723
VN_BTP,VN,BTP,11,0.0018382977421156745,7.227697214324708e-05,0.6381787936612402,-0.26317298717445636,0.09948643455098045
VN_BTS,VN,BTS,11,0.003378058837437629,0.0004468345892130287,0.4833802617403058,-0.1962347095547695,0.23646152368353715
VN_BTW,VN,BTW,6,0.10023606717305704,0.0004456012333511598,0.5785621426016605,4.014488805513634,0.23601048752404513
