total_assets,current_assets,cash,current_liabilities,equity,st_debt,lt_debt,total_debt_reported,retained_earnings,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year,total_debt,total_liabilities,total_debt_lag,debt_to_assets,leverage,st_debt_share,implied_rate,icr,roa,current_ratio,altman_z,country,source
9987292157923.0,2786194240014.0,275261970068.0,1989020330518.0,4493766109393.0,1328161975853.0,,4019927313607.0,956656429405.0,3483746674741.0,1008660346137.0,1487916398646.0,170492600996.0,838167745141.0,742842206787.0,BWE,2022,1328161975853.0,5493526048530.0,,0.1329851930685094,0.5500516017419137,1.0,0.12836732574466506,5.916153195179799,0.1009943766726421,1.400787210298847,5.623472325210416,VN,yahoo
12121720381528.0,2705825961123.0,655358928798.0,2384770328872.0,4802022634199.0,1435432986613.0,,5432917825707.0,1018524365687.0,3525936181744.0,1106298819125.0,1651959258399.0,344396591022.0,761902228103.0,674461285967.0,BWE,2023,1435432986613.0,7319697747329.0,1328161975853.0,0.11841825594330835,0.6038497438435647,1.0,0.24923810883971897,3.2122815613303497,0.09126582566702844,1.1346274852399978,4.9998181787821965,VN,yahoo
14199525343428.0,4473573577419.0,1006668267497.0,3397922534589.0,5336195858881.0,2464523846773.0,4480061462138.0,6944517598761.0,1070064860127.0,3958997823072.0,1088470559526.0,1724146684724.0,351835216080.0,736635343446.0,638928762826.0,BWE,2024,6944585308911.0,8863329484547.0,1435432986613.0,0.48907165140736053,0.6241989975143244,0.35488423529200896,0.08397003530837753,3.0936941777837967,0.076655418628467,1.316561378866192,5.139888353129355,VN,yahoo
15148255852020.0,3794456158624.0,1061535117825.0,2972406262588.0,5977866675209.0,2006141091505.0,5066102621804.0,7072243713309.0,1537007117680.0,4542868049098.0,1570931816923.0,2209778822826.0,389280023455.0,1181651793468.0,991038667809.0,BWE,2025,7072243713309.0,9170389176811.0,6944585308911.0,0.46686851492318343,0.6053759103618612,0.2836640213246209,0.0555446631813656,4.0354801743496,0.10370380803368319,1.2765604104602652,5.318113998985181,VN,yahoo
,,,,,,,,,,,,,,,CHP,2021,,,,,,,,,,,,VN,yahoo
3259700449355.0,628227540583.0,251256101502.0,458135420679.0,1997177349845.0,208796267372.0,804387678831.0,1013183946203.0,407388341967.0,1100534048069.0,633328411819.0,858997801698.0,97371062759.0,535957349060.0,510295093778.0,CHP,2022,1013183946203.0,1262523099510.0,,0.3108211818676405,0.3873126132678285,0.20607932859031494,0.09610403236639015,6.504277491419919,0.19429037166415622,1.3712703978485388,6.966348184812298,VN,yahoo
2967231114351.0,572564359212.0,113250882968.0,433121421760.0,1938518281144.0,208796267372.0,595591411447.0,804387678819.0,348729273266.0,881377927945.0,441083814823.0,665933493504.0,85652188743.0,355431626080.0,336954868099.0,CHP,2023,804387678819.0,1028712833207.0,1013183946203.0,0.2710903356764435,0.34669117219472223,0.2595716877197251,0.09424903818243009,5.149708621533013,0.1486516546317205,1.3219488356991673,6.918991237013305,VN,yahoo
2696249961096.0,525485984379.0,197904693647.0,321564471202.0,1987895836165.0,208801757706.0,386789653729.0,595591411435.0,398106828287.0,814199531520.0,386211259842.0,610560598480.0,54248785468.0,331962474374.0,313767090621.0,CHP,2024,595591411435.0,708354124931.0,804387678819.0,0.2208962151242453,0.26271826987549063,0.3505788594280084,0.07749942244945612,7.119260947691011,0.14324015407125265,1.634154365420864,8.136739102485576,VN,yahoo
2616813676825.0,662339684776.0,253128138132.0,202133289036.0,2108154352226.0,80469548000.0,306526035563.0,386995583563.0,531726049536.0,998866035683.0,521029127540.0,748086411097.0,36179344213.0,484849783327.0,458324072971.0,CHP,2025,386995583563.0,508659324599.0,595591411435.0,0.14788809267939348,0.19438117780558234,0.20793402151810386,0.07364099951897621,14.401287222690545,0.1991082254553823,3.27674717971881,10.75585933334673,VN,yahoo
,,,,,,,,,,,,,,,CII,2021,,,,,,,,,,,,VN,yahoo
28559496484792.0,7226742091969.0,275742966899.0,9570468969755.0,5385119416992.0,5166411914093.0,9415873137438.0,14582285051531.0,2449646951912.0,5747990668290.0,2160470443376.0,2928442518844.0,1119155480993.0,1041314962383.0,695146941142.0,CII,2022,14582285051531.0,23174377067800.0,,0.5105932122891628,0.8114420742725773,0.35429371294251144,0.07674760691058494,1.9304470916400875,0.0756480578894819,0.7551084607041991,3.743624477796007,VN,yahoo
